ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesAmount,OrderDate
381,20210101,20210113,20210108,16942,7,SO46700,1000.4375,2021-01-01
375,20210101,20210113,20210108,15114,8,SO46701,2181.5625,2021-01-01
369,20210101,20210113,20210108,15116,8,SO46702,2443.35,2021-01-01
337,20210101,20210113,20210108,20576,10,SO46703,782.99,2021-01-01
370,20210101,20210113,20210108,13059,4,SO46704,2443.35,2021-01-01
370,20210101,20210113,20210108,13085,1,SO46705,2443.35,2021-01-01
352,20210101,20210113,20210108,20186,6,SO46706,2071.4196,2021-01-01
337,20210101,20210113,20210108,15199,4,SO46707,782.99,2021-01-01
377,20210101,20210113,20210108,21200,9,SO46708,2181.5625,2021-01-01
387,20210102,20210114,20210109,19172,10,SO46709,1000.4375,2021-01-02
356,20210102,20210114,20210109,11484,8,SO46710,2071.4196,2021-01-02
369,20210102,20210114,20210109,13592,7,SO46711,2443.35,2021-01-02
373,20210102,20210114,20210109,13779,7,SO46712,2181.5625,2021-01-02
371,20210102,20210114,20210109,24778,6,SO46713,2181.5625,2021-01-02
368,20210102,20210114,20210109,13093,1,SO46714,2443.35,2021-01-02
375,20210102,20210114,20210109,24976,6,SO46715,2181.5625,2021-01-02
375,20210102,20210114,20210109,25046,6,SO46716,2181.5625,2021-01-02
368,20210102,20210114,20210109,25048,6,SO46717,2443.35,2021-01-02
360,20210102,20210114,20210109,12570,9,SO46718,2049.0982,2021-01-02
362,20210103,20210115,20210110,11604,10,SO46719,2049.0982,2021-01-03
371,20210103,20210115,20210110,13667,7,SO46720,2181.5625,2021-01-03
370,20210103,20210115,20210110,16046,10,SO46721,2443.35,2021-01-03
385,20210103,20210115,20210110,17095,7,SO46722,1000.4375,2021-01-03
368,20210103,20210115,20210110,12918,4,SO46723,2443.35,2021-01-03
368,20210103,20210115,20210110,28663,6,SO46724,2443.35,2021-01-03
369,20210103,20210115,20210110,21191,9,SO46725,2443.35,2021-01-03
373,20210103,20210115,20210110,20999,9,SO46726,2181.5625,2021-01-03
370,20210103,20210115,20210110,21002,9,SO46727,2443.35,2021-01-03
358,20210103,20210115,20210110,12354,9,SO46728,2049.0982,2021-01-03
321,20210103,20210115,20210110,26019,9,SO46729,782.99,2021-01-03
379,20210104,20210116,20210111,15100,8,SO46730,2181.5625,2021-01-04
371,20210104,20210116,20210111,15101,8,SO46731,2181.5625,2021-01-04
385,20210104,20210116,20210111,13992,4,SO46732,1000.4375,2021-01-04
375,20210104,20210116,20210111,24781,6,SO46733,2181.5625,2021-01-04
375,20210104,20210116,20210111,13060,4,SO46734,2181.5625,2021-01-04
371,20210104,20210116,20210111,13226,1,SO46735,2181.5625,2021-01-04
360,20210104,20210116,20210111,12341,9,SO46736,2049.0982,2021-01-04
354,20210104,20210116,20210111,12346,9,SO46737,2071.4196,2021-01-04
362,20210104,20210116,20210111,12576,9,SO46738,2049.0982,2021-01-04
373,20210105,20210117,20210112,15699,10,SO46739,2181.5625,2021-01-05
